2020-03-01	2	1\n\
2020-03-02	0	0\n\
2020-03-03	1	1\n\
2020-03-04	0	9\n\
2020-03-05	1	11\n\
2020-03-06	3	22\n\
2020-03-07	5	45\n\
2020-03-08	1	17\n\
2020-03-09	1	36\n\
2020-03-10	9	31\n\
2020-03-11	3	44\n\
2020-03-12	20	109\n\
2020-03-13	24	95\n\
2020-03-14	0	189\n\
2020-03-15	39	122\n\
2020-03-16	32	218\n\
2020-03-17	69	425\n\
2020-03-18	116	1012\n\
2020-03-19	108	1774\n\
2020-03-20	130	2952\n\
2020-03-21	200	3258\n\
2020-03-22	236	4817\n\
2020-03-23	222	5711\n\
2020-03-24	245	4805\n\
2020-03-25	504	7413\n\
2020-03-26	507	5941\n\
2020-03-27	720	5688\n\
2020-03-28	840	8771\n\
2020-03-29	905	6266\n\
2020-03-30	752	7721\n\
2020-03-31	1047	8707\n\
2020-04-01	1027	8153\n\
2020-04-02	1231	8996\n\
2020-04-03	1260	10329\n\
2020-04-04	1277	12274\n\
2020-04-05	805	8122\n\
2020-04-06	1279	9304\n\
2020-04-07	1118	8314\n\
2020-04-08	951	9568\n\
2020-04-09	1129	10765\n\
2020-04-10	1141	10794\n\
2020-04-11	1018	10160\n\
2020-04-12	877	8435\n\
2020-04-13	1156	6548\n\
2020-04-14	609	7402\n\
2020-04-15	906	11755\n\
2020-04-16	806	8631\n\
2020-04-17	1413	7532\n\
2020-04-18	739	7249\n\
2020-04-19	822	6199\n\
2020-04-20	744	4867\n\
2020-04-21	811	4324\n\
2020-04-22	440	5659\n\
2020-04-23	1339	6341\n\
2020-04-24	885	8286\n\
2020-04-25	306	10683\n\
2020-04-26	689	6013\n\
2020-04-27	610	4077\n\
2020-04-28	708	3285\n\
2020-04-29	347	4718\n\
2020-04-30	498	4702\n\
2020-05-01	1037	3879\n\
2020-05-02	735	4559\n\
2020-05-03	615	3699\n\
2020-05-04	819	2524\n\
2020-05-05	542	2302\n\
2020-05-06	563	2746\n\
2020-05-07	826	3526\n\
2020-05-08	371	2873\n\
2020-05-09	802	2715\n\
2020-05-10	595	2138\n\
2020-05-11	386	1610\n\
2020-05-12	941	1438\n\
2020-05-13	479	2123\n\
2020-05-14	808	2364\n\
2020-05-15	928	2759\n\
2020-05-16	673	2185\n\
2020-05-17	777	1901\n\
2020-05-18	854	1241\n\
2020-05-19	502	1479\n\
2020-05-20	527	1478\n\
2020-05-21	1204	2078\n\
2020-05-22	776	1678\n\
2020-05-23	676	1754\n\
2020-05-24	740	1601\n\
2020-05-25	879	1279\n\
2020-05-26	509	1044\n\
2020-05-27	379	1132\n\
2020-05-28	651	1758\n\
2020-05-29	1212	1549\n\
2020-05-30	927	1363\n\
2020-05-31	739	1104\n\
2020-06-01	667	945\n\
2020-06-02	617	1361\n\
2020-06-03	1317	1043\n\
2020-06-04	1419	1053\n\
2020-06-05	1305	1042\n\
2020-06-06	1270	1083\n\
2020-06-07	1180	777\n\
2020-06-08	966	712\n\
2020-06-09	1096	690\n\
2020-06-10	1371	664\n\
2020-06-11	1698	724\n\
2020-06-12	1902	821\n\
2020-06-13	2581	912\n\
2020-06-14	2016	694\n\
2020-06-15	1758	623\n\
2020-06-16	2783	630\n\
2020-06-17	2610	561\n\
2020-06-18	3207	626\n\
2020-06-19	3822	794\n\
2020-06-20	4049	707\n\
2020-06-21	3494	665\n\
2020-06-22	2926	555\n\
2020-06-23	3286	598\n\
2020-06-24	5511	575\n\
2020-06-25	5004	738\n\
2020-06-26	8942	804\n\
2020-06-27	9585	697\n\
2020-06-28	8530	624\n\
2020-06-29	5266	391\n\
2020-06-30	6093	458\n\
2020-07-01	6563	628\n\
2020-07-02	10109	872\n\
2020-07-03	9488	919\n\
2020-07-04	11458	725\n\
2020-07-05	10059	536\n\
2020-07-06	6336	516\n\
2020-07-07	7347	590\n\
2020-07-08	9989	691\n\
2020-07-09	8935	588\n\
2020-07-10	11433	790\n\
2020-07-11	10360	727\n\
2020-07-12	15300	679\n\
2020-07-13	12624	559\n\
2020-07-14	9194	913\n\
2020-07-15	10181	834\n\
2020-07-16	13965	767\n\
2020-07-17	11466	778\n\
2020-07-18	10328	752\n\
2020-07-19	12478	509\n\
2020-07-20	10347	519\n\
2020-07-21	9440	855\n\
2020-07-22	9785	706\n\
