Date,Florida,New York
20200301,2,1
20200302,2,1
20200303,3,2
20200304,3,11
20200305,4,22
20200306,7,44
20200307,12,89
20200308,13,106
20200309,14,142
20200310,23,173
20200311,26,217
20200312,46,326
20200313,70,421
20200314,70,610
20200315,109,732
20200316,141,950
20200317,210,1375
20200318,326,2387
20200319,434,4161
20200320,564,7113
20200321,764,10371
20200322,1000,15188
20200323,1222,20899
20200324,1467,25704
20200325,1971,33117
20200326,2478,39058
20200327,3198,44746
20200328,4038,53517
20200329,4943,59783
20200330,5695,67504
20200331,6742,76211
20200401,7769,84364
20200402,9000,93360
20200403,10260,103689
20200404,11537,115963
20200405,12342,124085
20200406,13621,133389
20200407,14739,141703
20200408,15690,151271
20200409,16819,162036
20200410,17960,172830
20200411,18978,182990
20200412,19855,191425
20200413,21011,197973
20200414,21620,205375
20200415,22526,217130
20200416,23332,225761
20200417,24745,233293
20200418,25484,240542
20200419,26306,246741
20200420,27050,251608
20200421,27861,255932
20200422,28301,261591
20200423,29640,267932
20200424,30525,276218
20200425,30831,286901
20200426,31520,292914
20200427,32130,296991
20200428,32838,300276
20200429,33185,304994
20200430,33683,309696
20200501,34720,313575
20200502,35455,318134
20200503,36070,321833
20200504,36889,324357
20200505,37431,326659
20200506,37994,329405
20200507,38820,332931
20200508,39191,335804
20200509,39993,338519
20200510,40588,340657
20200511,40974,342267
20200512,41915,343705
20200513,42394,345828
20200514,43202,348192
20200515,44130,350951
20200516,44803,353136
20200517,45580,355037
20200518,46434,356278
20200519,46936,357757
20200520,47463,359235
20200521,48667,361313
20200522,49443,362991
20200523,50119,364745
20200524,50859,366346
20200525,51738,367625
20200526,52247,368669
20200527,52626,369801
20200528,53277,371559
20200529,54489,373108
20200530,55416,374471
20200531,56155,375575
20200601,56822,376520
20200602,57439,377881
20200603,58756,378924
20200604,60175,379977
20200605,61480,381019
20200606,62750,382102
20200607,63930,382879
20200608,64896,383591
20200609,65992,384281
20200610,67363,384945
20200611,69061,385669
20200612,70963,386490
20200613,73544,387402
20200614,75560,388096
20200615,77318,388719
20200616,80101,389349
20200617,82711,389910
20200618,85918,390536
20200619,89740,391330
20200620,93789,392037
20200621,97283,392702
20200622,100209,393257
20200623,103495,393855
20200624,109006,394430
20200625,114010,395168
20200626,122952,395972
20200627,132537,396669
20200628,141067,397293
20200629,146333,397684
20200630,152426,398142
20200701,158989,398770
20200702,169098,399642
20200703,178586,400561
20200704,190044,401286
20200705,200103,401822
20200706,206439,402338
20200707,213786,402928
20200708,223775,403619
20200709,232710,404207
20200710,244143,404997
20200711,254503,405724
20200712,269803,406403
20200713,282427,406962
20200714,291621,407875
20200715,301802,408709
20200716,315767,409476
20200717,327233,410254
20200718,337561,411006
20200719,350039,411515
20200720,360386,412034
20200721,369826,412889
20200722,379611,413595
