date,Florida,New York
2020-03-01,2,1
2020-03-02,0,0
2020-03-03,1,1
2020-03-04,0,9
2020-03-05,1,11
2020-03-06,3,22
2020-03-07,5,45
2020-03-08,1,17
2020-03-09,1,36
2020-03-10,9,31
2020-03-11,3,44
2020-03-12,20,109
2020-03-13,24,95
2020-03-14,0,189
2020-03-15,39,122
2020-03-16,32,218
2020-03-17,69,425
2020-03-18,116,1012
2020-03-19,108,1774
2020-03-20,130,2952
2020-03-21,200,3258
2020-03-22,236,4817
2020-03-23,222,5711
2020-03-24,245,4805
2020-03-25,504,7413
2020-03-26,507,5941
2020-03-27,720,5688
2020-03-28,840,8771
2020-03-29,905,6266
2020-03-30,752,7721
2020-03-31,1047,8707
2020-04-01,1027,8153
2020-04-02,1231,8996
2020-04-03,1260,10329
2020-04-04,1277,12274
2020-04-05,805,8122
2020-04-06,1279,9304
2020-04-07,1118,8314
2020-04-08,951,9568
2020-04-09,1129,10765
2020-04-10,1141,10794
2020-04-11,1018,10160
2020-04-12,877,8435
2020-04-13,1156,6548
2020-04-14,609,7402
2020-04-15,906,11755
